Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
07 Korperweg HBR,Rotterdam,Rotterdam,Rotterdam,51.877278,4.4555,Ja,,x,,x,,,,x,
N471 Hogendorpweg x Maasd.we,Rotterdam,Rotterdam,Rotterdam,51.949444,4.459167,Ja,,,,x,,,,x,
07 Waalhaven noordzijde HBR,Rotterdam,Rotterdam,Rotterdam,51.893685,4.460965,Ja,,x,,x,,,,x,
07 Sluisjesdijk HBR,Rotterdam,Rotterdam,Rotterdam,51.894967,4.461153,Ja,,x,,x,,,,x,
07 Waalhaven oostzijde HBR,Rotterdam,Rotterdam,Rotterdam,51.892803,4.461435,Ja,,x,,x,,,,x,
N447 Voorschoterwg ri Voorburg,Den Haag,Voorschoten,Voorschoten,52.134234,4.463829,Ja,,x,,,,,,,
07 Maastunnel NZ,Rotterdam,Rotterdam,Rotterdam,51.905902,4.466568,Ja,,,,x,,,,x,
07 Maastunnel ZN,Rotterdam,Rotterdam,Rotterdam,51.905902,4.466568,Ja,,,,x,,,,x,
N262 1.5 Essen-Nispen NL IN,Zeeland-West-Brabant,Nispen,Roosendaal,51.481758,4.471988,Ja,,,,x,,x,,x,
N262 1.5 Nispen-Essen NL UIT,Zeeland-West-Brabant,Nispen,Roosendaal,51.481758,4.471988,Ja,,,,x,,x,,x,
N206 x 5Meiln ri Voorschoten,Den Haag,Leiden,Leiden,52.14798,4.47498,Ja,,x,,,,,,,
N206 x 5 Meiln ri Katwijk,Den Haag,Leiden,Leiden,52.1469,4.47531,Ja,,x,,,,,,,
07 Erasmusbrug NZ,Rotterdam,Rotterdam,Rotterdam,51.912061,4.482037,Ja,,,,x,,,,x,
07 Erasmusbrug ZN,Rotterdam,Rotterdam,Rotterdam,51.908696,4.488081,Ja,,,,x,,,,x,
N217 Prov. weg x A29,Rotterdam,Heinenoord,Binnenmaas,51.818174,4.488557,Ja,,x,,x,,,,x,
N217 Prov. weg x A29 RD,Rotterdam,Heinenoord,Binnenmaas,51.818237,4.488653,Ja,,,,x,,,,x,
07 Willemsbrug NZ,Rotterdam,Rotterdam,Rotterdam,51.917316,4.492004,Ja,,,,x,,,,x,
07 Willemsbrug ZN,Rotterdam,Rotterdam,Rotterdam,51.917898,4.492591,Ja,,,,x,,,,x,
N217 x Reedijk ri Puttershoek,Rotterdam,Heinenoord,Binnenmaas,51.81436,4.4942,Ja,,,,x,,,,x,
N217 x Reedijk ri A29,Rotterdam,Heinenoord,Binnenmaas,51.8137,4.4955,Ja,,,,x,,,,x,
07 Vaanweg x V. Hugoweg,Rotterdam,Rotterdam,Rotterdam,52,4.511389,Ja,,,,x,,,,x,
07 Kilweg West ri Ikea,Rotterdam,Barendrecht,Barendrecht,51.84431,4.511569,Ja,,x,,x,,x,,x,
07 Kilweg West ri oprit A29,Rotterdam,Barendrecht,Barendrecht,51.84431,4.511569,Ja,,x,,x,,x,,x,
A29 Li 13.1 Heinenoord,Rotterdam,Barendrecht,Barendrecht,51.839671,4.514719,Ja,,x,,x,,,,x,
A29 Re 13.1 Heinenoord,Rotterdam,Barendrecht,Barendrecht,51.839622,4.514873,Ja,,x,,x,,,,x,
07 Kilweg Oost ri Leedeweg,Rotterdam,Barendrecht,Barendrecht,51.843989,4.519309,Ja,,x,,x,,x,,x,
07 Kilweg Oost ri oprit A29,Rotterdam,Barendrecht,Barendrecht,51.843989,4.519309,Ja,,x,,x,,x,,x,
07 Stadionweg x Burgerh.str,Rotterdam,Rotterdam,Rotterdam,51.89692,4.51972,Ja,,,,x,,,,x,
A58 Li 87.0 Rucphen,Zeeland-West-Brabant,Rucphen,Rucphen,51.546865,4.521795,Ja,,,,x,,,,,
A58 Re 87.0 Rucphen,Zeeland-West-Brabant,Rucphen,Rucphen,51.546863,4.521799,Ja,,,,x,,,,,
07 Bosdreef x Boszoom,Rotterdam,Rotterdam,Rotterdam,51.945278,4.526389,Ja,,,,x,,,,x,
A16 Re Sc 20.1 Brienenoordbrug,Rotterdam,Rotterdam,Rotterdam,51.909864,4.538223,Ja,,x,,x,,x,,x,
A16 Li Pr 20.1 Brienenoordbrug,Rotterdam,Rotterdam,Rotterdam,51.911255,4.538257,Ja,,x,,x,,,,x,
A16 Li Sc 20.1 Brienenoordbrug,Rotterdam,Rotterdam,Rotterdam,51.911255,4.538257,Ja,,x,,x,,,,x,
A16 Re Pr 20.1 Brienenoordbrug,Rotterdam,Rotterdam,Rotterdam,51.909857,4.538413,Ja,,x,,x,,,,x,
A16 Afr 24 Kennedyweg,Rotterdam,Rotterdam,Rotterdam,51.896111,4.540833,Ja,,x,,x,,,,x,
07 Pr. Rooseveltweg Zevenkamp,Rotterdam,Rotterdam,Rotterdam,51.958889,4.548333,Ja,,,,x,,,,x,
07 Pr.Rooseveltweg Ommoord,Rotterdam,Rotterdam,Rotterdam,51.959444,4.549444,Ja,,,,x,,,,x,
07 Hoofdweg ri Cap.weg,Rotterdam,Rotterdam,Rotterdam,51.949167,4.552778,Ja,,x,,x,,,,x,
07 Dierensteinwg Barendrcht IN,Rotterdam,Barendrecht,Barendrecht,51.865456,4.553658,Ja,,x,,x,,x,,x,
07 Dierensteinwg LA ri A15,Rotterdam,Barendrecht,Barendrecht,51.865381,4.553761,Ja,,x,,x,,x,,x,
07 Dierensteinwg Barendrch UIT,Rotterdam,Barendrecht,Barendrecht,51.865326,4.553842,Ja,,x,,x,,x,,x,
07 Alexandrium Hfdwg A16,Rotterdam,Rotterdam,Rotterdam,51.9493,4.55385,Ja,,,,x,,,,x,
08 Langeweg IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.667916,4.553884,Ja,,x,,,,x,,x,
08 Langeweg UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.667916,4.553884,Ja,,x,,,,x,,x,
07 Verbindingswg ri Waterschap,Rotterdam,Barendrecht,Barendrecht,51.865685,4.555605,Ja,,x,,x,,x,,x,
07 Verbindingsweg LA+RD,Rotterdam,Barendrecht,Barendrecht,51.865713,4.555658,Ja,,x,,x,,x,,x,
07 Verbindingsweg RD+RA,Rotterdam,Barendrecht,Barendrecht,51.865713,4.555658,Ja,,x,,x,,x,,x,
07 Verbindingswg ri Ridderkerk,Rotterdam,Barendrecht,Barendrecht,51.865713,4.555658,Ja,,x,,x,,x,,x,
08 Vogelweg IN en UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.662139,4.55684,Ja,,x,,,,x,,x,
08 Zuidelijke Randweg IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.657013,4.557471,Ja,,x,,,,x,,x,
08 Zuidelijke Randweg UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.657013,4.557471,Ja,,x,,,,x,,x,
A20 Zuid Afr.16,Rotterdam,Capelle aan den,Capelle aan den Ijss,52,4.561944,Ja,,,,x,,,,x,
A20 Noord Afr.16,Rotterdam,Capelle aan den,Capelle aan den Ijss,51.956667,4.563333,Ja,,,,x,,,,x,
07 Hoofdweg x Cap.weg,Rotterdam,Capelle aan den,Capelle aan den Ijss,51.950833,4.564167,Ja,,,,x,,,,x,
07 Capelseweg x Hoofdweg,Rotterdam,Capelle aan den,Capelle aan den Ijss,51.950556,4.565278,Ja,,,,x,,,,x,
07 P.Alexanderlaan x Gravenweg,Rotterdam,Capelle aan den,Capelle aan den Ijss,51.926667,4.566944,Ja,,,,x,,,,x,
N201 Zandvoortseln Heemstede,Noord-Holland,Zandvoort,Zandvoort,52.365989,4.570192,Ja,,,,x,,,,,
N201 Zandvoortseln Zandvoort,Noord-Holland,Zandvoort,Zandvoort,52.365989,4.570192,Ja,,,,x,,,,,
N11 Li 5.8 Hazerswoude,Den Haag,Hazerswoude-Ri,Alphen aan den Rijn,52.122014,4.584222,Ja,,x,,,,,,,
N11 Re 5.8 Hazerswoude,Den Haag,Hazerswoude-Ri,Alphen aan den Rijn,52.122014,4.584222,Ja,,x,,,,,,,
07 Kr.IJssel CGRooswg ri brug,Rotterdam,Krimpen a/d IJss,Krimpen a/d IJssel,51.913984,4.585035,Ja,,x,,x,,,,x,
07 Kr.IJssel CGRooswg van brug,Rotterdam,Krimpen a/d IJss,Krimpen a/d IJssel,51.913984,4.585035,Ja,,x,,x,,x,,x,
N206 Vogelenzangseweg ri Lisse,Noord-Holland,Vogelzang,Bloemendaal,52.345707,4.585397,Ja,,,,x,,,,,
N206 Vogelenzangsewg Heemste,Noord-Holland,Vogelzang,Bloemendaal,52.345707,4.585397,Ja,,,,x,,,,,
04 Ferryterm Halkade ri GBR,Noord-Holland,IJmuiden,IJmuiden,52.462494,4.586619,Ja,,x,,,,,,,
04 Ferryterm Halkade ri NL,Noord-Holland,IJmuiden,IJmuiden,52.462494,4.586619,Ja,,x,,,,,,,
08 Keeneweg IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.662382,4.586668,Ja,,x,,,,x,,x,
08 Keeneweg UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.662382,4.586668,Ja,,x,,,,x,,x,
A12 Li 22.0 Zevenhuizen,Den Haag,Zevenhuizen,Zuidplas,52.023313,4.592147,Ja,,x,,,,,,,
N200 Re 20.2 ri Zandvoort,Noord-Holland,Bloemendaal,Bloemendaal,52.394712,4.595179,Ja,,,,x,,,,,
08  Entree IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.673149,4.607123,Ja,,x,,,,x,,x,
08  Entree UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.673149,4.607123,Ja,,x,,,,x,,x,
N208 Leidsevrtweg H-stede,Noord-Holland,Haarlem,Haarlem,52.363611,4.61,Ja,,,,x,,,,,
N208 Leidsevrtweg Bloemendl,Noord-Holland,Haarlem,Haarlem,52.363611,4.611944,Ja,,,,x,,,,,
08 Veerdam IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.687207,4.61386,Ja,,x,,,,x,,x,
08 Veerdam UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.687207,4.61386,Ja,,x,,,,x,,x,
08 Appelweg IN MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.693489,4.61386,Ja,,x,,,,x,,x,
08 Appelweg UIT MRDK,Zeeland-West-Brabant,Moerdijk,Moerdijk,51.693489,4.61386,Ja,,x,,,,x,,x,
N263 2.0 Wernhout NL IN,Zeeland-West-Brabant,Wernhout,Zundert,51.427309,4.624405,Ja,,,,x,,x,,x,
N263 2.0 Wernhout NL UIT,Zeeland-West-Brabant,Wernhout,Zundert,51.427309,4.624405,Ja,,,,x,,x,,x,
A 4 Li 21.9 Nieuwe Wetering,Den Haag,Nieuwe Weterin,Kaag en Braassem,52.211491,4.625211,Ja,,x,,,,,,,
04 Staalhavenwg ri Nrd Sluiswg,Noord-Holland,Velsen,Velsen,52.473314,4.625821,Ja,,,,x,,,,,
04 Staalhavenwg ri Wencken.str,Noord-Holland,Velsen,Velsen,52.473314,4.625821,Ja,,,,x,,,,,
N217 Li 28.8 Kiltunnel,Rotterdam,Dordrecht,Dordrecht,51.772661,4.629822,Ja,,x,,x,,,,x,
N217 Re 28.8 Kiltunnel,Rotterdam,Dordrecht,Dordrecht,51.772546,4.629831,Ja,,,,x,,,,x,
A44 Li 2.2 Oude Wetering,Noord-Holland,Nieuw-Vennep,Haarlemmermeer,52.231667,4.630278,Ja,,,,x,,,,,
A44 Re 2.2 Oude Wetering,Noord-Holland,Nieuw-Vennep,Haarlemmermeer,52.231667,4.630278,Ja,,,,x,,,,,
A20 Li 43.9 Zuidplas,Den Haag,Nieuwerkerk aan,Zuidplas,51.987122,4.631081,Ja,,x,,,,,,,
A20 Re 43.9 Zuidplas,Den Haag,Nieuwerkerk aan,Zuidplas,51.987122,4.631081,Ja,,x,,,,,,,
A16 Li 44.3 Moerdijkbrug,Rotterdam,Dordrecht,Dordrecht,51.722076,4.633861,Ja,,x,,x,,,,x,
A16 Re 44.3 Moerdijkbrug,Rotterdam,Dordrecht,Dordrecht,51.722076,4.633861,Ja,,x,,x,,,,x,
N208 Delftlaan x Orionweg,Noord-Holland,Haarlem,Haarlem,52.406111,4.633889,Ja,,,,x,,,,,
04 Waterloolaan ri Driehuis,Noord-Holland,Velsen,Velsen,52,4.634402,Ja,,,,x,,,,,
04 Waterloolaan ri IJmuiden,Noord-Holland,Velsen,Velslen,52,4.634402,Ja,,,,x,,,,,
04 Concordiastr. ri Wijkem.weg,Noord-Holland,Velsen,Velsen,52.467397,4.643756,Ja,,,,x,,,,,
04 Concordiastraat ri Pontweg,Noord-Holland,Velsen,Velsen,52.467397,4.643756,Ja,,,,x,,,,,
04 Parkweg ri IJmuiden,Noord-Holland,Velsen,Velsen,52.4623,4.643977,Ja,,,,x,,,,,
04 Parkweg ri Velsen Zuid,Noord-Holland,Velsen,Velsen,52.4623,4.643977,Ja,,,,x,,,,,
07 Mijlweg fietspad A16 Zwijnd,Rotterdam,Dordrecht,Dordrecht,52,4.648333,Ja,,,,x,,,,x,
07 Mijlweg x fietspad over A16,Rotterdam,Dordrecht,Dordrecht,51.795556,4.648333,Ja,,,,x,,,,x,
07 Laan der VN x toerit A16 NZ,Rotterdam,Dordrecht,Dordrecht,51.79912,4.65204,Ja,,,,x,,,,x,
N205 Schipholwg x Amerikawg,Noord-Holland,Haarlem,Haarlem,52.37016,4.6535,Ja,,,,x,,,,,
07 Laan der VN x toerit A16 ZN,Rotterdam,Dordrecht,Dordrecht,51.79752,4.65395,Ja,,,,x,,,,x,
06 Eisenhowerlaan ri Ring West,Den Haag,Alphen aan den,Alphen aan den Rijn,52.145277,4.658333,Ja,,x,,,,,,,
06 Eisenhowerlaan x Slotsngl,Den Haag,Alphen aan den,Alphen aan den Rijn,52.146389,4.658333,Ja,,x,,,,,,,
N207 Henegouwerweg thv 24.1,Den Haag,Waddinxveen,Waddinxveen,52.0404,4.6593,Ja,,x,,,,,,,
N201 Kruisweg ri Leenderbos,Noord-Holland,Hoofddorp,Haarlemmermeer,52.323026,4.659772,Ja,,,,x,,,,,
N201 Re 23.5 Hoofddorp In,Noord-Holland,Hoofddorp,Haarlemmermeer,52.323123,4.65986,Ja,,x,,,,,,,
N201 Li 23.8 Hoofddorp H-stede,Noord-Holland,Hoofddorp,Haarlemmermeer,52.321873,4.662555,Ja,,x,,,,,,,
N201 Kruisweg ri Drie Merenweg,Noord-Holland,Hoofddorp,Haarlemmermeer,52.321928,4.66265,Ja,,,,x,,,,,
N201 x Leenderbos,Noord-Holland,Hoofddorp,Haarlemmermeer,52.3212,4.6639,Ja,,,,x,,,,,
A58 Li 75.2 Etten-Leur,Zeeland-West-Brabant,Etten-Leur,Etten-Leur,51.572368,4.67141,Ja,,,,x,,,,,
A58 Re 75.2 Etten-Leur,Zeeland-West-Brabant,Etten-Leur,Etten-Leur,51.572368,4.67141,Ja,,,,x,,,,,
04 Spoorlaan Hoofdorp,Noord-Holland,Hoofddorp,Haarlemmermeer,52.281899,4.674974,Ja,,x,,x,,,,,
04 Spoorlaan ri Nw Vennep,Noord-Holland,Hoofddorp,Haarlemmermeer,52.281899,4.674974,Ja,,x,,x,,,,,
N207 Oostk.weg x Nassausgl,Den Haag,Alphen aan den,Alphen aan den Rijn,52.120851,4.676752,Ja,,x,,,,,,,
A 4 Li 15.3 Den Ruygen Hoek O,Noord-Holland,Hoofddorp,Haarlemmermeer,52.258104,4.684299,Ja,,x,,x,,,,,
A 4 Re 14.8 Ruygenhoek W,Noord-Holland,Hoofddorp,Haarlemmermeer,52.261667,4.688056,Ja,,x,,x,,,,,
N270 Kasteeltrav x Zuidende,Oost-Brabant,Helmond,Helmond,52.408623,4.701822,Ja,,,,x,,,,,
N270 Kasteeltrav x Zuidende,Oost-Brabant,Helmond,Helmond,52.408623,4.701822,Ja,,,,x,,,,,
A 9 Re 45.6 thv Spaarndam,Noord-Holland,Spaarndam,Haarlemmerliede en,52.408674,4.701948,Ja,,,,x,,,,,
A 9 Li 57.5 ri Amsterdam,Noord-Holland,Heemskerk,Heemskerk,52.504357,4.703865,Ja,,,,x,,,,,
07 Merw.str xN3 ri 's-Gravendl,Rotterdam,Dordrecht,Dordrecht,51.81707,4.70423,Ja,,,,x,,,,x,
N 3 Li 3.2 Dordrecht,Rotterdam,Dordrecht,Dordrecht,51.813889,4.7075,Ja,,,,x,,,,x,
N 3 Re 3.0 Dordrecht C,Rotterdam,Dordrecht,Dordrecht,51.816111,4.707778,Ja,,,,x,,,,x,
07 Merwedestr x N3 ri P-drecht,Rotterdam,Dordrecht,Dordrecht,51.816943,4.708611,Ja,,,,x,,,,x,
07 Baanhoekweg x Kosterstraat,Rotterdam,Dordrecht,Dordrecht,51.81725,4.7116,Ja,,,,x,,,,x,
N232 24.3 Schphlwg ri A-veen,Noord-Holland,Boesingheliede,Haarlemmermeer,52.364755,4.717345,Ja,,x,,x,,,,,
N232 24.3 Schphlwg ri Haarlem,Noord-Holland,Boesingheliede,Haarlemmermeer,52.364755,4.717345,Ja,,x,,x,,,,,
N201 Li 29.9 Hoofddrp H-stede,Noord-Holland,Hoofddorp,Haarlemmermeer,52.292111,4.717566,Ja,,x,,,,,,,
A 9 Re 63.1 Akersloot,Noord-Holland,Akersloot,Castricum,52.551947,4.719309,Ja,,,,x,,,,,
A 4 Re 11.3 Hoofddorp,Noord-Holland,Hoofddorp,Haarlemmermeer,52.285326,4.722075,Ja,,x,,x,,,,,
04 Rijkerstreek ri Schiphol,Noord-Holland,Rozenburg,Aalsmeer,52.288584,4.729066,Ja,,x,,,,,,,
N201 Li 32.2 Rozenburgdreef,Noord-Holland,Hoofddorp,Haarlemmermeer,52.277343,4.730537,Ja,,x,,x,,,,,
N201 Re 32.2 Rozenburgdreef,Noord-Holland,Hoofddorp,Haarlemmermeer,52.277343,4.730537,Ja,,x,,x,,,,,
N 9 Re 79.8 ML Kingwg,Noord-Holland,Alkmaar,Alkmaar,53,4.73184,Ja,,x,,x,,,,,
N 9 Li 80.0 S.Bikoweg,Noord-Holland,Alkmaar,Alkmaar,52.64788,4.73238,Ja,,x,,x,,,,,
KMAR SPL Rijkerstr. P30,Noord-Holland,Schiphol,Haarlemmermeer,52.290833,4.732778,Ja,,x,,,,,,,
KMAR SPL Rijkerstr. P30,Noord-Holland,Schiphol,Haarlemmermeer,52.290833,4.732778,Ja,,x,,x,,,,,
A 5 Li 5.6 Lijnden,Noord-Holland,Lijnden,Haarlemmermeer,52.333727,4.734172,Ja,,x,,x,,,,,
A 5 Re 5.6 Lijnden,Noord-Holland,Lijnden,Haarlemmermeer,52.333727,4.734172,Ja,,x,,x,,,,,
A16 Re 72.2 Hazeldonk GO,Zeeland-West-Brabant,Breda,Breda,51.486667,4.735556,Ja,,,,x,,,,,
A16 Re 72.2 Hazeldonk GO,Zeeland-West-Brabant,Breda,Breda,51.486667,4.735556,Ja,,x,,,,,,,
A16 Li 72.2 Hazeldonk GO,Zeeland-West-Brabant,Breda,Breda,51.486667,4.735833,Ja,,,,x,,,,,
A16 Li 72.2 Hazeldonk GO,Zeeland-West-Brabant,Breda,Breda,51.486667,4.735833,Ja,,x,,,,,,,
KMAR SPL A4 Li 8.9s ri AMS,Noord-Holland,Schiphol,Haarlemmermeer,52.301667,4.744167,Ja,,x,,,,,,,
KMAR SPL A4 Li 8.9s ri AMS,Noord-Holland,Schiphol,Haarlemmermeer,52.301667,4.744167,Ja,,x,,x,,,,,
A16 Li 69.9 Breda NL IN,Zeeland-West-Brabant,Breda,Breda,51.506806,4.744393,Ja,,x,,x,,,,x,
A16 Re 68.5 Breda NL UIT,Zeeland-West-Brabant,Breda,Breda,51.519209,4.745185,Ja,,x,,x,,,,x,
08 Backer Ruebweg Hg Vucht,Zeeland-West-Brabant,Breda,Breda,51.599444,4.7475,Ja,,x,,,,,,,
KMAR SPL Afrit 2 inkeer,Noord-Holland,Schiphol,Haarlemmermeer,52.306389,4.747778,Ja,,x,,,,,,,
KMAR SPL Afrit 2 inkeer,Noord-Holland,Schiphol,Haarlemmermeer,52.306389,4.747778,Ja,,x,,x,,,,,
KMAR SPL Ceintuurbaan Z,Noord-Holland,Schiphol,Haarlemmermeer,52.307156,4.75095,Ja,,x,,,,,,,
KMAR SPL Ceintuurbaan Z,Noord-Holland,Schiphol,Haarlemmermeer,52.307156,4.75095,Ja,,x,,x,,,,,
SPL Ceintuurbaan inkeer,Noord-Holland,Schiphol,Haarlemmermeer,52.306944,4.751944,Ja,,x,,x,,,,,
SPL Ceintuurbaan inkeer,Noord-Holland,Schiphol,Haarlemmermeer,52.306944,4.751944,Ja,,x,,x,,,,,
N200 Li 6.0 ri Amsterdam,Amsterdam,Halfweg,Haarlemmerliede en,52.383889,4.753889,Ja,,x,,x,,,,x,
SPL Citizen M J. Plezierweg,Noord-Holland,Schiphol,Haarlemmermeer,52.309167,5,Ja,,x,,x,,,,,
SPL Citizen M J. Plezierweg,Noord-Holland,Schiphol,Haarlemmermeer,52.309167,5,Ja,,x,,x,,,,,
N200 Re 6.0 RD ri Haarlem,Noord-Holland,Halfweg,Haarlemmerliede en,52.38385,4.7554,Ja,,,,x,,,,,
05 Zonnekruidweg ri Landing ZQ,Amsterdam,Badhoevedorp,Amsterdam,52.321722,4.75567,Ja,,x,,x,,x,,,
05 Zonnekruidwg ri Sloterwg ZQ,Amsterdam,Badhoevedorp,Amsterdam,52.321722,4.75567,Ja,,x,,x,,x,,,
KMAR SPL Sloterweg kr. JCS KM,Noord-Holland,Schiphol,Haarlemmermeer,52.321667,4.755833,Ja,,x,,,,,,,
KMAR SPL Sloterweg kr. JCS KM,Noord-Holland,Schiphol,Haarlemmermeer,52.321667,4.755833,Ja,,x,,x,,,,,
SPL Herbergierstraat,Noord-Holland,Schiphol,Haarlemmermeer,52.305833,4.756389,Ja,,x,,x,,,,,
SPL Herbergierstraat,Noord-Holland,Schiphol,Haarlemmermeer,52.305833,4.756389,Ja,,x,,x,,,,,
KMAR SPL A4 Re 6.6m ri DH,Noord-Holland,Schiphol,Haarlemmermeer,52.320833,4.757778,Ja,,x,,,,,,,
KMAR SPL A4 Re 6.6m ri DH,Noord-Holland,Schiphol,Haarlemmermeer,52.320833,4.757778,Ja,,x,,x,,,,,
05 Sloterwg ri Maximakazern ZQ,Amsterdam,Amsterdam,Amsterdam,52.325533,4.761216,Ja,,,,x,,x,,,
05 Sloterwg ri Tweeduizend ZQ,Amsterdam,Amsterdam,Amsterdam,52.325533,4.761216,Ja,,,,x,,x,,,
KMAR SPL vertrek K-R,Noord-Holland,Schiphol,Haarlemmermeer,52.308333,4.763056,Ja,,x,,,,,,,
KMAR SPL vertrek K-R,Noord-Holland,Schiphol,Haarlemmermeer,52.308333,4.763056,Ja,,x,,x,,,,,
05 Ookmeerweg ri AMS,Amsterdam,Amsterdam,Amsterdam,52.352431,4.768639,Ja,,,,x,,x,,,
05 Ookmeerweg ri Badh.drp,Amsterdam,Amsterdam,Amsterdam,52.352431,4.768639,Ja,,,,x,,x,,,
N232 29.5 Schipholwg ri AMS,Noord-Holland,Badhoevedorp,Haarlemmermeer,52.333631,4.775032,Ja,,x,,x,,,,,
05 AMS Ookmrwg ri Lijnderbrug,Amsterdam,Amsterdam,Amsterdam,52.357853,4.778734,Ja,,,,x,,x,,,
05 AMS Ookmrwg ri rot Osd.Ban,Amsterdam,Amsterdam,Amsterdam,52.357853,4.778734,Ja,,,,x,,x,,,
N232 Li 43.7 Fokkerweg,Noord-Holland,Oude Meer,Oude Meer,52.286859,4.781818,Ja,,x,,x,,,,,
N201 Li 37.5 Waterwolf Hfddrp,Amsterdam,Aalsmeer,Aalsmeer,52.271871,4.786103,Ja,,x,,x,,,,x,
N201 Re 37.5 Waterwolf Aalsmr,Amsterdam,Aalsmeer,Aalsmeer,52.271871,4.786103,Ja,,x,,x,,,,x,
05 Osdorperweg,Amsterdam,Amsterdam,Amsterdam,52.362832,4.786519,Ja,,,,x,,x,,,
KMAR SPL Loevest. RDW bus,Noord-Holland,Schiphol,Haarlemmermeer,52.323056,4.786667,Ja,,x,,,,,,,
KMAR SPL Loevest. RDW bus,Noord-Holland,Schiphol,Haarlemmermeer,52.323056,4.786667,Ja,,x,,x,,,,,
